id w label 
103 0.5317 0 
104 0.1305 0 
105 0.5552 0 
106 0.5420 0 
107 0.6123 1 
108 0.1138 0 
109 0.3843 0 
110 0.3777 0 
111 0.3262 0 
112 0.1752 0 
113 0.2031 0 
114 0.3384 0 
115 0.4614 0 
116 0.5166 1 
117 0.2446 0 
118 0.4663 0 
119 0.2991 0 
120 0.1398 0 
121 0.1663 0 
122 0.1866 0 
123 0.6265 0 
124 0.3616 0 
125 0.4873 0 
126 0.5928 0 
127 0.5278 1 
128 0.5273 0 
129 0.5620 0 
130 0.3352 0 
131 0.0000 0 
132 0.3354 0 
133 0.5801 1 
134 0.1512 0 
135 0.1479 0 
136 0.1628 0 
137 0.3645 0 
138 0.0000 0 
139 0.3201 0 
140 0.5327 0 
141 0.2007 0 
142 0.2400 0 
143 0.0000 0 
144 0.0571 0 
145 0.0767 0 
146 0.2491 0 
147 0.0000 0 
148 0.0000 0 
149 0.6934 1 
150 0.7104 0 
151 0.4265 0 
152 0.1148 0 
153 0.0000 0 
154 0.0000 0 
155 0.0000 0 
156 0.6030 0 
157 0.5605 0 
158 0.0000 0 
159 0.3245 0 
160 0.0808 0 
161 0.0820 0 
162 0.3347 0 
163 0.4507 0 
164 0.2090 0 
165 0.2178 0 
166 0.6733 0 
167 0.6855 0 
168 0.6753 1 
169 0.0922 0 
170 0.0869 0 
171 0.4724 0 
172 0.6655 1 
173 0.0000 0 
174 0.1967 0 
175 0.0000 0 
176 0.0000 0 
177 0.1161 0 
178 0.1599 0 
179 0.2004 0 
180 0.0000 0 
181 0.0000 0 
182 0.5908 0 
183 0.6011 0 
184 0.0525 0 
185 0.0667 0 
186 0.0000 0 
187 0.0000 0 
188 0.7231 1 
189 0.0000 0 
190 0.1321 0 
191 0.1221 0 
192 0.1113 0 
193 0.4634 1 
194 0.4695 0 
195 0.0000 0 
196 0.0000 0 
197 0.4919 0 
198 0.2681 0 
199 0.3374 0 
200 0.1652 0 
201 0.0000 0 
202 0.2158 0 
203 0.2542 0 
204 0.4758 0 
205 0.7002 0 
206 0.5557 0 
207 0.6060 1 
208 0.1090 0 
209 0.0000 0 
210 0.1376 0 
211 0.1379 0 
212 0.3896 0 
213 0.7026 1 
214 0.0000 0 
215 0.5908 1 
216 0.1371 0 
217 0.1477 0 
218 0.0000 0 
219 0.4438 0 
220 0.1487 0 
221 0.5962 0 
222 0.5049 0 
223 0.6055 0 
224 0.1010 0 
225 0.1124 0 
226 0.2017 0 
227 0.2161 0 
228 0.2881 0 
229 0.3672 0 
230 0.6606 1 
231 0.0000 0 
232 0.0000 0 
233 0.0000 0 
234 0.0000 0 
235 0.0000 0 
236 0.0000 0 
237 0.4851 1 
238 0.0000 0 
239 0.7534 0 
240 0.0906 0 
241 0.6885 1 
242 0.6553 0 
243 0.3308 0 
244 0.0000 0 
245 0.1105 0 
246 0.2253 0 
247 0.0920 0 
248 0.0654 0 
249 0.0000 0 
250 0.0000 0 
251 0.5723 1 
252 0.0000 0 
253 0.2067 0 
254 0.0000 0 
255 0.0000 0 
256 0.1171 0 
257 0.1534 0 
258 0.6982 0 
259 0.3130 0 
260 0.4497 0 
261 0.0000 0 
262 0.3811 1 
263 0.4309 0 
264 0.0527 0 
265 0.0778 0 
266 0.0000 0 
267 0.1396 0 
268 0.0000 0 
269 0.1384 0 
270 0.0000 0 
271 0.5991 1 
272 0.4531 0 
273 0.4641 0 
274 0.1863 0 
275 0.3220 0 
276 0.1602 0 
277 0.2303 0 
278 0.4355 1 
279 0.3376 0 
280 0.1213 0 
281 0.0000 0 
282 0.3127 0 
283 0.1255 0 
284 0.3630 0 
285 0.0000 0 
286 0.0000 0 
287 0.4148 0 
288 0.0897 0 
289 0.1201 0 
290 0.0000 0 
291 0.0000 0 
292 0.2084 0 
293 0.0000 0 
294 0.0000 0 
295 0.0000 0 
296 0.1115 0 
297 0.0000 0 
298 0.2505 0 
299 0.2568 0 
300 0.0000 0 
301 0.0000 0 
302 0.0000 0 
303 0.0000 0 
304 0.1451 0 
305 0.1570 0 
306 0.0000 0 
307 0.3804 0 
308 0.3140 0 
309 0.0000 0 
310 0.0000 0 
311 0.0000 0 
312 0.1076 0 
313 0.0000 0 
314 0.3147 0 
315 0.0000 0 
316 0.5132 0 
317 0.0000 0 
318 0.6035 0 
319 0.0000 0 
320 0.2754 0 
321 0.0000 0 
322 0.3879 0 
323 0.0612 0 
324 0.7222 1 
325 0.0000 0 
326 0.6338 1 
327 0.0000 0 
328 0.0000 0 
329 0.1342 0 
330 0.0000 0 
331 0.0000 0 
332 0.0000 0 
333 0.0000 0 
